"id";"membrane_id";"species_id";"cell";"pub";"publink";"pc";"pe";"pi";"ps";"pa";"cl";"sph";"ch";"cb";"sl";"pips";"pilpe";"lpc";"pg";"other"
1;4;53;"Fibroblast (NIH 3T3 cell line)";"Chem Biol Interact. 2006 Dec 15;164(3):167-73. The plasma membrane lipid composition affects fusion between cells and model membranes.";"http://www.ncbi.nlm.nih.gov/pubmed/17098217?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum";43.2;16.1;7.6;6.4;1.5;0.0;12.2;13.0;0.0;0.0;0.0;0.0;0.0;0.0;""
2;4;14;"Schwann (NF1T cell line)";"J Neurosci Res. 1997 Aug 1;49(3):372-80. Lipid composition and phospholipid asymmetry of membranes from a Schwann cell line.";"http://www.ncbi.nlm.nih.gov/pubmed/9260748?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=1&log$=relatedarticles&logdbfrom=pubmed";44.0;14.0;9.6;2.8;0.0;0.0;29.6;0.6;0.0;0.0;0.0;0.0;0.0;0.0;""
3;6;55;"Rat Liver (male Wistar)";"Biochem J. 1974 Jun;140(3):461-8. Studies on the lipid composition of the rat liver endoplasmic reticulum after induction with phenobarbitone and 20-methylcholanthrene.";"http://www.ncbi.nlm.nih.gov/pubmed/4447625?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=1&log$=relatedarticles&logdbfrom=pubmed";53.0;20.2;0.0;0.0;0.0;0.0;3.7;0.0;0.0;0.0;14.1;0.0;0.0;0.0;""
4;4;55;"Neuronal Cell Bodies (NS) from Cultured Dorsal Root Ganglia (embryonic day 15 rat pups)";"J Neurochem. 1995 Jan;64(1):424-9. Lipid composition of neuronal cell bodies and neurites from cultured dorsal root ganglia.";"http://www.ncbi.nlm.nih.gov/pubmed/7798942?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=1&log$=relatedarticles&logdbfrom=pubmed";28.9;16.5;5.8;3.1;0.0;0.0;2.8;15.4;3.1;1.6;0.0;0.0;0.0;0.0;""
5;4;55;"Neurites (NP) from Cultured Dorsal Root Ganglia (embryonic day 15 rat pups)";"J Neurochem. 1995 Jan;64(1):424-9. Lipid composition of neuronal cell bodies and neurites from cultured dorsal root ganglia.";"http://www.ncbi.nlm.nih.gov/pubmed/7798942?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=1&log$=relatedarticles&logdbfrom=pubmed";27.0;22.3;6.3;6.2;0.0;0.0;4.5;22.1;5.2;2.6;0.0;0.0;0.0;0.0;""
6;4;6;"Bovine Adrenal Chromaffin cells";"Lipids. 1986 Jun;21(6):417-9. Plasma membrane lipids of bovine adrenal chromaffin cells.";"http://www.ncbi.nlm.nih.gov/pubmed/3736352?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=1&log$=relatedarticles&logdbfrom=pubmed";48.0;32.2;0.0;0.0;0.0;0.0;9.3;0.0;0.0;0.0;10.4;0.0;0.0;0.0;""
7;6;157;"Barley Roots";"Plant Physiol. 1989 Jul;90(3):955-961. Lipid Composition of Plasma Membranes and Endomembranes Prepared from Roots of Barley (Hordeum vulgare L.) : Effects of Salt.";"http://www.ncbi.nlm.nih.gov/pubmed/16666904?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=3&log$=relatedarticles&logdbfrom=pubmed";58.0;20.9;0.0;1.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;2.2;6.4;""
8;13;157;"Barley Roots";"Plant Physiol. 1989 Jul;90(3):955-961. Lipid Composition of Plasma Membranes and Endomembranes Prepared from Roots of Barley (Hordeum vulgare L.) : Effects of Salt.";"http://www.ncbi.nlm.nih.gov/pubmed/16666904?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=3&log$=relatedarticles&logdbfrom=pubmed";53.6;23.0;0.0;2.9;1.9;0.6;0.0;0.0;0.0;0.0;0.0;8.7;3.2;6.0;""
9;4;157;"Barley Roots";"Plant Physiol. 1989 Jul;90(3):955-961. Lipid Composition of Plasma Membranes and Endomembranes Prepared from Roots of Barley (Hordeum vulgare L.) : Effects of Salt.";"http://www.ncbi.nlm.nih.gov/pubmed/16666904?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=3&log$=relatedarticles&logdbfrom=pubmed";36.9;32.1;0.0;7.1;6.3;2.0;0.0;0.0;0.0;0.0;0.0;7.6;5.0;3.0;""
10;4;36;"Budding Yeast";"J Bacteriol. 1991 Mar;173(6):2026-34. Phospholipid synthesis and lipid composition of subcellular membranes in the unicellular eukaryote Saccharomyces cerevisiae.";"http://www.ncbi.nlm.nih.gov/pubmed/2002005?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=1&log$=relatedarticles&logdbfrom=pubmed";16.8;20.3;17.7;33.6;3.9;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
