"id";"type_id";"class_id";"superfamily_id";"family_id"
1;1;1;2;1
2;1;1;2;2
3;1;1;2;3
4;1;1;2;4
5;1;1;2;5
6;1;1;345;6
7;1;1;3;7
8;1;1;3;8
9;1;1;3;9
10;1;1;3;10
82;3;11;309;83
12;1;1;4;12
13;1;1;5;13
14;1;1;6;14
15;1;1;6;15
16;1;1;7;16
17;1;1;8;17
84;1;1;8;85
19;1;1;10;19
20;1;1;11;20
21;1;1;12;21
22;1;1;13;22
23;1;1;14;23
24;1;1;15;24
25;1;1;16;25
26;1;1;17;26
374;1;16;256;366
28;1;1;19;28
29;1;1;20;29
30;1;1;21;30
31;1;1;22;31
32;1;1;23;32
33;1;1;24;33
34;1;16;25;34
35;1;2;26;35
36;1;2;268;36
37;1;2;27;37
38;1;2;271;38
39;1;2;28;39
40;1;2;29;40
41;1;2;71;41
42;1;2;30;42
43;1;2;31;43
44;1;2;32;44
526;1;16;230;515
46;1;2;34;46
47;1;2;35;47
48;1;2;305;48
49;2;5;37;49
50;2;5;38;50
51;2;5;39;51
52;2;5;39;52
98;2;5;78;98
54;1;16;41;54
55;1;16;42;55
56;2;5;43;56
57;2;5;44;57
428;3;11;292;419
364;1;1;67;356
61;2;6;48;61
248;2;8;177;249
63;2;6;47;63
247;2;5;39;248
65;2;6;51;65
66;2;6;52;66
67;2;6;53;67
707;3;11;195;695
69;2;6;55;69
70;2;6;56;70
99;2;5;78;99
72;1;16;58;72
73;1;16;59;73
74;2;8;60;74
75;2;8;61;75
76;2;8;61;76
77;2;6;62;77
78;2;6;63;78
380;3;11;195;372
85;1;1;67;82
81;1;1;15;81
83;3;12;69;84
86;1;16;70;86
88;1;2;31;88
89;1;2;33;89
90;1;16;70;90
91;1;1;72;91
92;1;16;73;92
93;1;16;73;93
94;1;16;74;94
95;1;16;75;95
96;1;1;77;97
97;3;11;76;96
100;2;5;79;100
101;2;5;80;101
102;2;5;81;102
103;2;5;82;103
104;2;5;83;104
709;1;1;457;697
708;3;11;335;696
107;2;5;84;107
108;2;5;85;108
735;1;1;470;723
110;2;5;87;110
111;2;5;88;111
112;2;5;38;112
113;2;5;90;113
114;2;5;90;114
115;2;5;90;115
249;1;1;178;250
117;2;5;92;117
118;2;5;93;118
119;2;5;94;119
120;2;5;95;120
121;2;5;96;121
122;2;5;97;122
738;1;16;472;726
409;3;11;276;400
125;2;6;99;125
126;2;7;132;126
416;1;16;230;407
128;2;6;99;128
129;2;6;101;129
246;2;7;139;247
534;2;5;86;523
244;1;16;145;245
133;1;16;103;134
134;2;6;104;135
135;2;6;105;136
136;2;6;105;137
137;2;6;106;138
138;2;6;107;139
533;1;16;349;522
140;2;6;107;141
141;2;6;108;142
142;2;6;52;143
143;2;6;109;144
240;2;7;132;241
145;2;6;111;146
242;2;6;51;243
147;2;6;113;148
829;3;11;463;817
149;2;6;115;150
866;3;11;309;854
433;3;14;294;424
152;1;16;117;153
153;2;6;120;154
379;3;11;336;371
377;2;7;128;369
156;2;6;120;157
157;2;6;120;158
158;2;6;120;159
159;2;6;120;160
160;2;6;120;161
161;2;6;120;162
162;2;8;61;163
163;2;8;61;164
164;2;6;121;165
165;2;6;55;166
166;2;6;122;167
167;2;6;123;168
168;2;6;124;169
169;2;7;125;170
170;2;7;125;171
171;2;7;126;172
172;2;7;126;173
173;1;16;127;174
174;2;7;128;175
175;1;16;127;176
378;3;14;239;370
177;2;7;129;178
178;2;7;130;179
179;2;7;131;180
180;2;7;132;181
406;1;16;274;397
182;2;7;134;183
183;2;7;135;184
184;2;7;135;185
185;2;7;135;186
186;2;7;135;187
375;2;5;257;367
188;2;7;135;189
189;2;7;135;190
190;2;7;135;191
191;2;7;135;192
192;2;7;136;193
193;2;7;137;194
241;2;7;176;242
195;2;7;139;196
196;2;8;140;197
197;2;8;141;198
383;3;11;185;375
535;1;1;346;87
200;2;8;144;201
201;1;16;218;202
243;2;8;147;244
203;2;8;147;204
204;2;8;148;205
205;2;8;149;206
206;3;11;150;207
207;3;11;160;208
208;3;11;152;209
209;3;11;153;210
210;3;11;154;211
211;3;11;154;212
212;3;11;154;213
213;3;11;195;214
508;3;11;338;497
215;3;11;154;216
216;3;11;160;217
217;3;11;156;218
218;3;11;157;219
497;3;11;292;486
220;2;5;159;221
221;3;11;310;222
222;3;13;226;223
223;3;13;162;224
224;3;13;163;225
225;3;13;164;226
226;2;5;508;227
227;3;13;165;228
228;3;13;164;229
229;3;13;167;230
230;3;14;168;231
231;3;13;167;232
232;3;14;170;233
233;3;14;170;234
234;3;14;170;235
235;3;14;171;236
236;3;14;172;237
237;2;8;173;238
238;2;6;56;239
239;3;14;174;240
250;1;1;15;251
251;1;2;179;252
252;1;16;180;253
253;1;2;181;254
254;1;1;182;255
255;2;7;183;256
256;3;11;160;257
257;3;11;463;258
258;2;7;132;259
259;1;1;186;260
260;1;16;187;261
261;1;16;188;262
262;2;6;189;263
263;2;8;148;264
264;1;1;6;265
702;2;8;452;689
266;3;14;170;267
267;2;6;192;268
268;2;5;193;269
269;1;1;194;270
270;3;11;334;271
271;1;16;196;272
272;1;2;31;273
273;1;16;197;274
274;2;6;51;275
373;1;1;255;365
276;1;1;199;277
313;2;7;136;312
278;1;2;200;279
279;1;1;201;280
280;1;1;202;281
281;1;2;203;282
282;1;1;204;283
326;1;1;17;276
284;1;1;205;285
285;1;16;206;286
286;1;16;207;287
287;1;1;14;288
288;1;2;208;289
289;1;1;3;290
290;2;7;135;291
291;1;2;210;292
312;2;7;136;311
293;1;1;67;294
294;1;1;67;295
295;1;2;270;296
296;1;2;212;297
297;1;1;67;298
776;1;2;35;764
299;1;16;213;300
329;1;1;17;301
301;1;1;215;302
302;2;7;129;303
304;1;1;67;304
305;0;0;0;0
306;1;16;216;305
376;2;7;128;368
308;1;1;217;307
309;1;16;218;308
310;1;1;219;309
311;1;1;202;310
314;2;5;221;313
315;3;11;160;348
316;2;7;222;315
317;2;6;223;316
318;2;5;224;317
319;1;1;225;318
320;3;13;226;319
812;3;13;163;800
322;2;7;228;321
323;2;5;90;322
324;1;2;229;323
330;1;16;230;324
331;2;5;216;325
332;1;1;7;326
333;1;1;13;327
354;1;1;247;347
335;1;1;231;328
336;2;7;132;329
337;2;7;132;330
338;3;11;195;331
339;1;1;232;332
340;1;1;233;333
341;2;7;136;334
342;3;11;338;335
343;3;11;235;336
344;3;11;236;337
345;2;5;84;338
346;3;11;236;339
347;3;11;236;340
348;3;14;239;341
349;1;1;240;342
350;2;5;242;343
351;1;1;244;344
352;2;5;245;345
353;2;5;246;346
355;3;11;150;314
356;3;11;309;349
357;1;1;15;350
359;1;1;16;351
360;1;1;249;352
361;2;6;250;353
362;2;5;251;354
401;2;5;216;392
365;1;16;252;357
367;1;1;15;359
368;1;1;8;360
369;2;7;135;361
370;1;16;254;362
371;1;2;266;363
372;1;2;267;364
381;3;11;258;373
382;3;11;463;374
385;3;11;338;376
386;2;7;261;377
387;3;11;160;378
388;3;11;263;379
389;3;11;195;380
390;3;13;226;381
391;3;11;309;382
392;3;11;195;383
393;3;13;226;384
394;3;11;195;385
395;2;7;135;386
396;2;7;135;387
397;2;7;135;388
398;2;7;135;389
399;1;2;26;390
400;1;2;269;391
402;2;7;136;393
403;1;1;16;394
404;2;5;272;395
405;1;1;273;396
407;1;1;347;398
408;2;6;99;399
410;1;1;17;401
411;1;1;277;402
412;1;2;203;403
413;2;6;278;404
414;1;1;279;405
415;3;11;336;406
901;2;7;135;889
418;2;6;283;409
419;2;8;284;410
420;1;1;253;411
421;1;1;285;412
422;3;11;336;413
423;2;5;287;414
424;1;16;288;415
425;3;11;463;416
426;1;16;290;417
427;3;11;195;418
429;3;11;292;420
430;2;6;56;421
